"PA Ref","Proposal","Property Address","Decision","Decision Issued","Year"
"14/00128/B","Creation of external door openings and erection of canopy over entrance door","The Vicarage Patrick Road Patrick Village Isle Of Man IM5 3AW","PER","17-Mar-14","2014"
"14/00317/B","Installation of replacement roof tiles to dwelling","Dhoon Beg Main Road Kirk Michael Isle Of Man IM6 1ER ","PER","06-May-14","2014"
"14/00318/B","Erection of an extension to dwelling","1 Truggan Close Port Erin Isle Of Man IM9 6JR","PER","06-May-14","2014"
"14/00321/B","Alterations and erection of extension to dwelling","Palm Cottage Jurby East Isle Of Man IM7 3HD ","PER","02-Jun-14","2014"
"14/00322/B","Alterations and erection of extensions to dwelling","Arborfield Douglas Road Ballasalla Isle Of Man IM9 3AD","PER","29-Apr-14","2014"
"14/01076/B","Removal of dormers to front elevation","35 Douglas Street Peel Isle Of Man IM5 1BB","PER","14-Oct-14","2014"
"14/00904/B","Removal of a window to side elevation of dwelling","93 Ballabrooie Avenue Douglas Isle Of Man IM1 4HA","PER","12-Sep-14","2014"
"14/00470/B","Loft conversion to dwelling including installation of dormer windows, gable window and flue","15 Ballacriy Park Colby Isle Of Man IM9 4LT","PER","10-Jun-14","2014"
"14/00730/C","Change of use of existing tourist accommodation to residential","Stuggadhoo Cottage St Marks Road Braaid Isle Of Man IM4 2AJ","PER","28-Jul-14","2014"
"14/00731/B","Removal of existing spar dash render and replace with smooth cement render","Rhen Valla Gansey Point Gansey Port St Mary Isle Of Man IM9 5LA ","PER","28-Jul-14","2014"
"13/01248/CON","Registered Building consent for the demolition of existing adjacent laundry building (In association with 13/91246/F) Registered Building Nos. 222","Engine Room Building  Tromode Estate  Carrs Lane Tromode Douglas Isle Of Man  ","PER","19-May-14","2014"
"13/91257/B","Erection of an agricultural building","Part Field 234106 Lower Kerrowglass Farm Peel Road Kirk Michael Isle Of Man  ","PER","03-Jan-14","2014"
"13/91258/B","Erection of an enclosed smoking shelter to replace existing smoking area","Palace Hotel And Casino Central Promenade Douglas Isle Of Man IM2 4NA ","PER","17-Apr-14","2014"
"13/91259/B","Window and door alterations and creation of a dormer extension to dwelling","Cornelly Woodlands Avenue Douglas Isle Of Man IM2 3QS","PER","20-Feb-14","2014"
"13/91347/B","Installation of replacement windows and door to rear elevation","3 Windsor Terrace Douglas Isle Of Man IM1 3LU","PER","11-Nov-14","2014"
"14/00243/D","Installation of advertising signage","44 Parliament Street Ramsey Isle Of Man IM8 1AN","PER","22-Apr-14","2014"
"14/00293/B","Replacement of existing garage door with window and replacement front boundary wall","38 Derby Road Peel Isle Of Man IM5 1HP","PER","06-May-14","2014"
"14/00670/B","Alterations, erection of a two storey extension, relocation of existing and creation of an additional pedestrian gateway to dwelling","18 Creggan Lea Port St. Mary Isle Of Man IM9 5BE","PER","22-Aug-14","2014"
"14/00672/B","Alterations and creation of a roof terrace (amendment to PA 13/91304/B)","Bay View House 3 Victoria Terrace Peel Isle Of Man IM5 1PG ","PER","11-Jul-14","2014"
"14/00674/B","Installation of replacement windows to front elevation","Wits End Dandy Hill Port Erin Isle Of Man IM9 6HN","REF","18-Jul-14","2014"
"14/01060/B","Closing off existing and creation of new vehicular access and driveway","Ashmead Croit E Quill Road Laxey Isle Of Man IM4 7JJ","PER","20-Oct-14","2014"
"14/01061/B","Erection of a replacement garage","16 Ash Grove Ramsey Isle Of Man IM8 3HT","PER","16-Oct-14","2014"
"14/01062/C","Change of use of premises from hairdressing salon to a cake shop","3 Water Street Ramsey Isle Of Man IM8 1JP ","PER","16-Oct-14","2014"
"13/91350/B","Installation of a replacement window to rear elevation","1 Windsor Terrace Douglas Isle Of Man IM1 3LU","PER","06-Jan-14","2014"
"13/00596/D","Erection of illuminated signage and accent lighting","28-29 Loch Promenade Douglas Isle Of Man IM1 2LY ","PER","29-Sep-14","2014"
"14/00200/B","Alterations, installation of two dormer windows and extension of patio area to rear garden","Dreeym Lang Tromode Park Douglas Isle Of Man IM2 5LB","PER","13-Jun-14","2014"
"14/00640/B","Conversion of garage into living accommodation","12 Elderberry Rise Douglas Isle Of Man IM2 1QR ","PER","11-Jul-14","2014"
"14/00523/B","Erection of a canopy over existing playground","The Buchan Pre Prep Arbory Road Castletown Isle Of Man IM9 1RD ","PER","18-Jun-14","2014"
"14/00525/B","Conversion of redundant farm building into tourist accommodation","Lower Gleneedle Gleneedle Lower Foxdale Isle Of Man IM4 3BF","REF","05-Dec-14","2014"
"14/00720/B","Erection of an agricultural building","Field 134313 Adjacent To Kerrowmoar Croft  Kerrowmoar Sulby Isle Of Man  ","PER","04-Aug-14","2014"
"13/91049/B","Alterations, erection of an extension and conversion of the property from tourist accommodation to include permanent residential accommodation","4 Charles Street Peel Isle Of Man IM5 1AF","PER","03-Jan-14","2014"
"14/00247/B","Alterations and re building of rear annexe to dwelling","Thie Drommey Cronk Ruagh Lezayre Ramsey Isle Of Man IM7 2ED ","PER","22-Apr-14","2014"
"14/00249/B","Relocation of eleven spans of 33Kv overland line","Land Between Ballaquine Farm & Ballacarnane Mooar Fields And Part Fields 314009, 310009, 315196, 234501, 234106, 234105, 234107, 234108, 234101, 234109, 234099, 234600, 231387, 234095 & 230774 Peel Road Kirk Michael Isle Of Man  ","PER","11-Apr-14","2014"
"14/00495/B","Installation of replacement window and door to side elevation","Garey Veg Main Road Kirk Michael Isle Of Man IM6 1AH","PER","18-Jun-14","2014"
"14/01204/B","Window and door alterations and installation of a condenser to retail premises","Co-op Store White House Buildings New Road Laxey Isle Of Man IM4 7BB","PER","11-Dec-14","2014"
"14/01206/B","Rendering works, erection of an extension and widening of driveway and vehicular access to dwelling","7 Ballaquane Park Peel Isle Of Man IM5 1PT","PER","24-Nov-14","2014"
"14/01092/B","Installation of an air filtration system with external induction fan, ducting, filter system housed in container and discharge stack","No 29 Unit K Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH","PER","30-Oct-14","2014"
"14/01267/B","Erection of nine livestock shelters, comprising amendment to approved PA 14/00236/B","Fields 230578, 234267, 234455, 234456 & 234252 Main Road Kirk Michael Isle Of Man  ","PER","12-Dec-14","2014"
"14/01363/B","Conversion of existing integral garage into living accommodation including widening of existing driveway and vehicular access to accommodate two vehicles off road","56 Broogh Wyllin Shore Road Kirk Michael Isle Of Man IM6 1HU ","PER","30-Dec-14","2014"
"13/91249/B","Demolition of existing building and erection of an office with workshop above and widening of existing vehicular access and carriage crossing","Workshop / Store Building To Rear Of Strang House Strang Hill Strang Douglas Isle Of Man IM4 4NX","PER","20-Feb-14","2014"
"14/00082/B","Installation of replacement conservatory roof and regularisation of amendments to PA 11/00230/B","The Old Mill Lower Foxdale Isle Of Man IM4 3AZ ","PER","03-Mar-14","2014"
"14/00083/B","Installation of an additional window to south elevation","Shidda Athol Avenue Port Erin Isle Of Man IM9 6EY","PER","03-Mar-14","2014"
"14/00503/B","Replacement of existing glazed conservatory roof with light weight roof tiles and installation of sun tunnel","33 Maple Avenue Onchan Isle Of Man IM3 3HJ","PER","10-Jun-14","2014"
"14/00137/B","Installation of replacement roof tiles to dwelling","9 Park Close Glen Vine Isle Of Man IM4 4HB","PER","17-Mar-14","2014"
"14/00218/B","Alterations to existing windows and door, rendering work and removal of a chimney stack to dwelling","31 Cannan Avenue Kirk Michael Isle Of Man IM6 1HG","PER","10-Apr-14","2014"
"14/00220/B","Installation of replacement windows and door to dwelling","12 Hildesley Road Douglas Isle Of Man IM2 5AZ","PER","07-Apr-14","2014"
"14/00748/B","Alterations, erection of extension and installation of dormer windows to dwelling","17 Birchleigh Close Onchan Isle Of Man IM3 4EX","PER","31-Jul-14","2014"
"14/00751/B","Creation of a field access","Field 431183 Glebe Farm Stables St Marks Ballasalla Isle Of Man  ","PER","07-Aug-14","2014"
"14/00753/B","Alterations, removal of existing conservatory and erection of extension to rear of dwelling","11 Hawthorn Close Onchan Isle Of Man IM3 3HL","PER","22-Jul-14","2014"
"14/00778/B","Alterations and extensions to dwelling","Thie Ain Gordon Peel Isle Of Man IM5 3AT ","PER","07-Aug-14","2014"
"14/00035/B","Erection of a sun lounge extension to rear elevation and re-location of oil tank","Melrose 29 Sartfell Road Douglas Isle Of Man IM2 3NB ","PER","20-Feb-14","2014"
"14/00704/B","Installation of additional window to front elevation","51 Station Road Port Erin Isle Of Man IM9 6AR","PER","18-Jul-14","2014"
"14/00707/B","Erection of a timber lean-to shed (retrospective)","6 Rheast Bridson Peel Isle Of Man IM5 1JF","PER","22-Jul-14","2014"
"14/00708/B","Removal of chimney stack","44 Broadway Douglas Isle Of Man IM2 4EW","PER","01-Sep-14","2014"
"14/00709/B","Alterations to create an aerospace/precision engineering facility","The Construction Crafts And Engineering Building  Hills Meadow Industrial Estate Douglas Isle Of Man IM1 5EB ","PER","18-Jul-14","2014"
"14/01312/C","Additional use of residential property as tourist living accommodation","15 Wood View Court Reayrt Ny Keylley Peel Isle Of Man IM5 1GG ","PER","23-Dec-14","2014"
"14/01316/B","Alterations of windows and doors to dwelling","77 King Edward Road Onchan Isle Of Man IM3 2AS ","PER","23-Dec-14","2014"
"13/00946/D","Erection of advertising signage and retention of advertising decals to front elevation windows (part retrospective).","54 Athol Street Douglas Isle Of Man IM1 1JD","PER","22-Jan-14","2014"
"13/91330/B","Alterations and erection of ground floor extension  to dwelling","16 Cooil Breryk Ramsey Isle Of Man IM8 3HJ","PER","28-Feb-14","2014"
"13/91332/B","Erection of an extension, terrace and roof terrace to rear elevation of dwelling","Bethsan Strang Road Union Mills Isle Of Man IM4 4NP","PER","10-Jan-14","2014"
"13/91432/B","Alterations and extension to existing rescue vehicle parking shed","Fire Station Peel Road Douglas Isle Of Man IM1 5ED","PER","14-Feb-14","2014"
"13/01290/LAW","Lawful use application for use of the site for vehicle, equipment and material storage and waste transfer station for tipping road sweepings, trimmings, top soil and excavated road materials, inert and organic vegetation","Land At Ellerslie Depot Old Church Road Crosby Isle Of Man  ","CLAWA","03-Dec-14","2014"
"14/00194/B","Alterations and extensions to existing detached garage and conversion to ancillary living accommodation","61 King Edward Road Onchan Isle Of Man IM3 2AR","REF","09-May-14","2014"
"14/00355/B","Creation of external ramped access and doorway to first floor flat","The Railway Inn Main Road Union Mills Isle Of Man IM4 4NE","PER","21-May-14","2014"
"14/00563/C","Change of use of managers accommodation to self catering tourist accommodation","Glen Mona 6 Mona Drive Douglas Isle Of Man IM2 4LG","PER","28-Jul-14","2014"
"14/00564/B","Erection of a garden shed","24 Larivane Meadows Andreas Isle Of Man IM7 4JD ","PER","24-Jun-14","2014"
"14/00565/B","Erection of a conservatory to dwelling","Rheayrt Saaie Douglas Road Ballasalla Isle Of Man IM9 2EN","PER","18-Jul-14","2014"
"14/00152/D","Erection of illuminated signage","Centenary Centre  Atholl Street Peel Isle Of Man IM5 1HQ ","PER","18-Mar-14","2014"
"14/00982/B","Installation of replacement windows to dwelling","Avonmore Main Road Kirk Michael Isle Of Man IM6 1ER","PER","16-Sep-14","2014"
"14/00985/B","Replace two existing windows with sliding doors and installation of glazed Juliet balconies and replacement of existing patio door / window with sliding doors to rear elevation of dwelling","12 Majestic Drive Onchan Isle Of Man IM3 2JQ","PER","18-Sep-14","2014"
"13/91093/A","Approval in principle for creation of nature reserve and erection of a detached dwelling","Fields 211184 And 211190  Land To The West Of Gollane House  Clenagh Road Sandygate Ramsey Isle Of Man  ","REF","05-Sep-14","2014"
"13/91435/B","Erection of rear extension and alterations, creation of new access, and erection of garden store and pavilion (both retrospective)","Ballakiel Cottage Leodest Road Andreas Isle Of Man IM7 3EG","PER","20-Mar-14","2014"
"13/91437/B","Installation of replacement windows, roof windows and creation of patio doors to dwelling","12 Lyndale Avenue Peel Isle Of Man IM5 1JY","PER","14-Jan-14","2014"
"14/00587/B","Removal of two chimney stacks","Elleray & Greenbank Bride Road Ramsey Isle Of Man IM8 3UN","PER","26-Jun-14","2014"
"14/00588/B","Alterations and extension to existing spa and conference facilities (amendments to PA 13/00295/B)","Brightlife Ballalheaney House Andreas Road Andreas Isle Of Man IM7 4EN","PER","26-Jun-14","2014"
"14/00787/CON","Registered Building Consent for the demolition of existing dwelling (in association with PA 13/00199/B)","158 Woodbourne Road Douglas Isle Of Man IM2 3BD","PER","07-Aug-14","2014"
"14/00788/B","Removal of chimney stacks","Clifton   9 Drury Terrace Douglas Isle Of Man IM2 3HY","REF","04-Sep-14","2014"
"14/00905/B","Erection of a replacement dwelling","The Maples Brookfield Avenue Castletown Isle Of Man IM9 1TL","PER","04-Sep-14","2014"
"14/00995/CON","Registered Building Consent for installation of replacement guttering, timber soffits and facias and replacement garden door and lintel (RB no 187 in association with 14/00994/GB)","9 Victoria Terrace Douglas Isle Of Man IM2 4EU","PER","27-Oct-14","2014"
"14/00998/B","Re -roofing of dwelling using the same materials and installation of replacement roof light","Edensor Quarterbridge Road Douglas Isle Of Man IM2 3RJ","PER","10-Oct-14","2014"
"13/91477/B","Erection of a ground floor extension to rear elevation","5 Campion Close Reayrt Ny Keylley Peel Isle Of Man IM5 1GD ","PER","22-Jan-14","2014"
"14/00033/B","Erection of an agricultural livestock / feed building","Part Field 220680 Seafield Farm Bollyn Road Ballaugh Isle Of Man  ","PER","03-Jun-14","2014"
"14/00046/B","Erection of conservatory to rear elevation","10 Erin Way Port Erin Isle Of Man IM9 6EF ","PER","20-Mar-14","2014"
"14/00047/B","Erection of a sun room extension and bay window to dwelling (comprising amendments to PA 13/91355/B)","Caaghyr Bradda East Port Erin Isle Of Man IM9 6QB ","PER","21-Mar-14","2014"
"14/00979/B","Alterations to existing vehicular access onto highway","Ballaveare Old Castletown Road Port Soderick Isle Of Man IM4 1BB","PER","22-Sep-14","2014"
"14/00981/B","Erection of extension to replace existing conservatory to rear elevation","16 Royal Avenue Onchan Isle Of Man IM3 1HA","PER","18-Sep-14","2014"
"14/00983/B","Erection of a dwelling (amendment to dwelling approved under PA 14/00449/B)","Plot 156 Ballakilley Residential Development Under Construction  Church Road Port St. Mary Isle Of Man  ","PER","16-Sep-14","2014"
