Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,12/00835/B,Installation of replacement windows and door,18-Jul-12,Senior Planning Officer - North (CB),Rosemount Main Road Colby Isle Of Man IM9 4AE
Permitted,12/00836/B,Erection of a pair of semi detached dwellings,16-Jul-12,Senior Planning Officer - South (SC),Plots 51 & 52 Elderberry Rise Douglas Isle Of Man IM2 1QR 
Permitted,12/00837/B,Erection of a dwelling with garage,16-Jul-12,Senior Planning Officer - South (SC),Plot 58  Elderberry Rise Douglas Isle Of Man IM2 1QR 
Permitted,12/00838/B,Installation of replacement windows to ground floor,16-Jul-12,Senior Planning Officer - North (CB),1 Bank Street Castletown Isle Of Man IM9 1AT
Permitted,12/00839/B,Erection of a cage marshalling area within service yard and creation of five additional car parking spaces,16-Jul-12,Senior Planning Officer - South (SC),Tesco Store Lake Road Douglas Isle Of Man IM1 5AF
Permitted,12/00840/B,Erection of timber decking (Retrospective),24-Jul-12,Senior Planning Officer - North (CB),1A Royal Terrace Onchan Isle Of Man IM3 1EE
Permitted,12/00841/B,Alteration and extension to existing farm shop to create cafe facility and creation of new vehicular access,17-Dec-12,Planning Committee,Middle Cordeman Farm  Cordeman Road St Marks Ballasalla Isle Of Man IM9 3AJ
Permitted,12/00842/B,Alterations to outbuilding and installation of a solar panel,16-Jul-12,Senior Planning Officer - North (CB),Greystones Barnell Lane Patrick Village Isle Of Man IM5 3AN
Permitted,12/00843/D,Installation of illuminated and non illuminated signage,16-Jul-12,Senior Planning Officer - South (SC),Tesco Store Lake Road Douglas Isle Of Man IM1 5AF
Permitted,12/00844/B,Installation of a replacement roof to conservatory and replace existing windows with a doorway,16-Jul-12,Senior Planning Officer - North (CB),8 Mull View Kirk Michael Isle Of Man IM6 1AQ
Permitted,12/00845/B,Installation of replacement windows to dwelling,24-Jul-12,Senior Planning Officer - North (CB),9 Queens Terrace Douglas Isle Of Man IM1 4BZ
Permitted,12/00846/B,Erection of a detached garage and creation of additional vehicular access (comprising amendments to PA 11/00986/B),21-Aug-12,Planning Committee,Woodlands Alexander Drive Douglas Isle Of Man IM2 3QU
Permitted,12/00847/B,Alterations to dwelling including creation of a rear vehicular access and parking area,24-Jul-12,Senior Planning Officer - North (CB),27 Christian Road Douglas Isle Of Man IM1 2QH
Permitted,12/00848/A,Approval in principle for the erection of a detached dwelling and garage,24-Jul-12,Planning Committee,Plot 13 Hillberry Green Douglas Isle Of Man IM2 6DE
Permitted,12/00849/B,Erection of a dormer extension to rear elevation of dwelling,13-Aug-12,Senior Planning Officer - North (CB),9 Erin Way Port Erin Isle Of Man IM9 6EF
Permitted,12/00850/B,Installation of window to replace existing garage door,16-Jul-12,Senior Planning Officer - North (CB),8 Erin Lane Port Erin Isle Of Man IM9 6FE 
Permitted,12/00851/B,Installation of roof lights to dwelling,18-Jul-12,Senior Planning Officer - North (CB),Ballakeighan Farm Ballakeighan Corner Castletown Isle Of Man IM9 4PG
Permitted,12/00852/B,Extension to dwelling,25-Jul-12,Senior Planning Officer - North (CB),Kerrowmoar Farmhouse Kerrowmoar Ramsey Isle Of Man IM7 2AX 
Permitted,12/00853/B,Replace existing garage door with a window and creation of a doorway to side elevation,24-Jul-12,Planning Committee,15 Maple Avenue Ballawattleworth Estate Peel Isle Of Man IM5 1WP 
Permitted,12/00854/B,"Alterations, erection of a two storey extension and widen existing driveway and vehicular access",25-Jul-12,Senior Planning Officer - North (CB),24 Ballaughton Manor Hill Douglas Isle Of Man IM2 1NY
Permitted,12/00855/C,Additional use of residential apartment as tourist living accommodation,25-Jul-12,Senior Planning Officer - North (CB),15 Century Court Queens Promenade Douglas Isle Of Man IM2 4NT 
Permitted,12/00856/B,Alterations and erection of an extension to dwelling,25-Jul-12,Senior Planning Officer - North (CB),10 Cambridge Terrace Douglas Isle Of Man IM1 3LL
Permitted,12/00857/B,Erection of an extension to dwelling,25-Jul-12,Senior Planning Officer - North (CB),3 The Chase Ballakillowey Colby Isle Of Man IM9 4BL
Refused,12/00858/A,Approval in principle for the erection of a detached dwelling,28-Aug-12,Head of Development Management,Land Adjacent To Kella Sheear Kella Road Sulby Isle Of Man  
Permitted,12/00859/B,Block up existing vehicular access and removal of driveway and creation of new vehicular access and driveway,31-Jul-12,Senior Planning Officer - North (CB),Athen Rye Stoney Mountain Road Eairy Isle Of Man IM4 3HJ
Permitted,12/00860/B,Conversion from an art gallery to a coffee shop,25-Jul-12,Senior Planning Officer - North (CB),14 Parliament Street Ramsey Isle Of Man IM8 1AP 
Permitted,12/00861/D,Erection of signage,25-Jul-12,Senior Planning Officer - North (CB),14 Parliament Street Ramsey Isle Of Man IM8 1AP 
Permitted,12/00862/B,Erection of a temporary building to provide Pro Shop and Clubhouse facilities,07-Aug-12,Planning Committee,The Pro Shop & Clubhouse Castletown Golf Links Fort Island Road Derbyhaven Isle Of Man IM9 1UA
Permitted,12/00863/D,Erection of illuminated advertising signage,26-Jul-12,Head of Development Management,Publishing House Peel Road Douglas Isle Of Man IM1 5PZ
Permitted,12/00864/B,Erection of a second floor extension,26-Jul-12,Head of Development Management,Publishing House Peel Road Douglas Isle Of Man IM1 5PZ
Permitted,12/00865/B,Erection of an extension to dwelling,15-Oct-12,Senior Planning Officer - South (SC),25 Falcon Cliff Court Douglas Isle Of Man IM2 4AH
Permitted,12/00866/B,Erection of a garage and carport for Plot 24 and driveway / parking adjustment for Plot 30,25-Jul-12,Senior Planning Officer - North (CB),Plots 24 & 30 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ 
Permitted,12/00867/GB,Installation of a replacement window (In association with 12/00868/CON),13-Aug-12,Head of Development Management,Dunluce Ballure Road Ramsey Isle Of Man IM8 1NL
Permitted,12/00868/CON,Registered Building consent for the installation of a replacement window (In association with 12/00867/GB) Registered Building Nos. 215,13-Aug-12,Head of Development Management,Dunluce Ballure Road Ramsey Isle Of Man IM8 1NL
Permitted,12/00869/B,Erection of cattle shed,30-Jul-12,Senior Planning Officer - South (SC),Field 224356  Bishopscourt Farm Bishopscourt Kirk Michael Isle Of Man IM6 2EY 
Permitted,12/00870/B,Partial enclosure of existing pavillion / viewing area,25-Jul-12,Senior Planning Officer - North (CB),Douglas Bowling Club Villa Marina Complex Douglas Isle Of Man IM1 2HP 
Permitted,12/00871/B,Demolition of existing outbuilding and erection of stables with store and formation of manege in the corner of Field 120316,04-Oct-12,Senior Planning Officer - South (SC),Ballawhane Farm Leodest Road Andreas Isle Of Man IM7 3EG
Permitted,12/00872/B,Erection of a front porch to dwelling,25-Jul-12,Senior Planning Officer - North (CB),3 Close Cronk Peel Isle Of Man IM5 1DW 
Permitted,12/00873/B,Alterations and erection of an extension to provide replacement changing facilities,25-Jul-12,Senior Planning Officer - North (CB),Castletown Metropolitan Football Stadium Malew Road Castletown Isle Of Man IM9 4EA
Permitted,12/00874/B,Installation of three roof lights to rear elevation,25-Jul-12,Senior Planning Officer - North (CB),21 St Ninians Road Douglas Isle Of Man IM2 4BE
Permitted,12/00875/A,Approval in principle for erection of a replacement dwelling,02-Nov-12,Planning Committee,Corvalley Howe Road Port St. Mary Isle Of Man IM9 5PR 
Permitted,12/00876/B,Erection of a dormer extension to dwelling,08-Aug-12,Senior Planning Officer - North (CB),2 Glen Vine Park Glen Vine Isle Of Man IM4 4EY
Permitted,12/00877/B,Installation of roof lights and gable windows to dwelling,26-Jul-12,Head of Development Management,52 Clifton Drive Ramsey Isle Of Man IM8 3NG
Permitted,12/00878/B,Reduce height of garden fence (retrospective),30-Jul-12,Senior Planning Officer - South (SC),13 & 14 Cronk Y Berry Douglas Isle Of Man IM2 6EY
Permitted,12/00879/B,Alterations and erection of an extension to dwelling,25-Jul-12,Senior Planning Officer - North (CB),Ballastroke Farm Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF 
Permitted,12/00880/B,Installation of a triangular shaped dormer to rear elevation,26-Jul-12,Senior Planning Officer - North (CB),Cronk Beg Eleanora Drive Douglas Isle Of Man IM2 3NN
Permitted,12/00881/B,Erection of block walls and flat roof between existing storeroom and conservatory,25-Jul-12,Senior Planning Officer - North (CB),Ballaquayle Farm St Marks Road St Marks Ballasalla Isle Of Man IM9 3AF
Permitted,12/00882/C,Change of use of ground floor cafe to residential,25-Jul-12,Senior Planning Officer - North (CB),Craigmore Tent Road Laxey Isle Of Man IM4 7DB
Permitted,12/00883/B,Erection of dwelling with integral garage,25-Jul-12,Senior Planning Officer - North (CB),Site Adjacent To Westham  Arbory Road Castletown Isle Of Man IM9 1ND 
Permitted,12/00884/B,Conversion of dwellings to each provide three apartments (Amendments to PA 10/01264/B & PA 12/00611/B),25-Jul-12,Senior Planning Officer - North (CB),20 & 22 Mona Street Douglas Isle Of Man IM1 2QD
Refused,12/00885/A,Approval in principle for conversion of existing stables to ancillary living accommodation,25-Jul-12,Senior Planning Officer - North (CB),Ballahowin Orrisdale Kirk Michael Isle Of Man IM6 2HP 
Permitted,12/00886/B,Extension to dwelling,26-Jul-12,Head of Development Management,1 The Courtyard Tromode Road Douglas Isle Of Man IM2 5EJ 
Permitted,12/00887/B,"Renovation of original farmhouse and conversion of barn and outbuildings, including extensions, to form a single dwelling with ancillary buildings (comprising amendments to PA 09/00597/B)",26-Jul-12,Head of Development Management,Ballairgey Abbeylands Isle Of Man IM4 5EE 
Permitted,12/00888/B,Erection of extensions to dwelling,26-Jul-12,Head of Development Management,109 King Edward Road Onchan Isle Of Man IM3 2AS 
Permitted,12/00889/B,Installation of street lighting to south driveway,15-Nov-12,Senior Planning Officer - South (SC),The University Centre The Nunnery Old Castletown Road Douglas Isle Of Man IM2 1QB
Permitted,12/00890/B,Installation of replacement windows to front elevation,25-Jul-12,Senior Planning Officer - North (CB),105 Malew Street Castletown Isle Of Man IM9 1LX
Permitted,12/00891/B,Installation of a gazebo and engineering works to create a childrens feature cave (retrospective),18-Sep-12,Planning Committee,Beehive Kindergarten Hillberry Road Onchan Isle Of Man IM3 3JP
Permitted,12/00892/B,Alterations and erection of extensions to dwelling,26-Jul-12,Head of Development Management,Newton Heath 35 Upper Dukes Road Douglas Isle Of Man IM2 4AT 
Refused,12/00893/B,Erection of a boundary fence,30-Jul-12,Senior Planning Officer - South (SC),1 Stonecrop Grove Douglas Isle Of Man IM2 7DX
Permitted,12/00894/B,Erection of extension over and to rear of existing garage,26-Jul-12,Senior Planning Officer - North (CB),54 King Orry Road Glen Vine Isle Of Man IM4 4FJ 
Permitted,12/00895/B,"Erection of a detached garage, block up one vehicular access and widen remaining vehicular access",13-Sep-12,Senior Planning Officer - North (CB),Wendover Douglas Road Castletown Isle Of Man IM9 1TJ
Permitted,12/00896/B,"Replace existing garage door with a window to front elevation, window alteration to side elevation and replace an existing window with patio doors to the rear elevation of dwelling, and alterations and extension to driveway",21-Aug-12,Planning Committee,2 Hollydene Avenue Onchan Isle Of Man IM3 3HB
Permitted,12/00897/B,Extension to existing agricultural building,13-Aug-12,Senior Planning Officer - South (SC),Ballafayle Farm Cranstal Bride Isle Of Man IM7 4BP 
Permitted,12/00898/B,Installation of a replacement window,26-Jul-12,Senior Planning Officer - North (CB),19 Drinkwater Street Douglas Isle Of Man IM1 1AT
Permitted,12/00899/B,Alteration and conversion of redundant storage area to a gymnasium to be used in conjunction with existing health/beauty facility (Amendment to PA 11/01148/B),30-Jul-12,Senior Planning Officer - South (SC),Diamond House Demesne Road Douglas Isle Of Man IM1 3DS
Permitted,12/00900/B,Installation of replacement windows and door to front elevation,30-Jul-12,Senior Planning Officer - South (SC),27 Falkland Drive Onchan Isle Of Man IM3 1EG
Permitted,12/00901/B,Installation of replacement windows and three clocks,31-Jul-12,Senior Planning Officer - South (SC),Town Hall The Promenade Port St. Mary Isle Of Man IM9 5DA
Permitted,12/00902/B,Alterations including creation of a covered play area and replacing two existing windows with two double doors,01-Aug-12,Senior Planning Officer - North (CB),Infants School Peel Clothworkers School Derby Road Peel Isle Of Man IM5 1HP
Permitted,12/00903/B,Alterations and erection of extension to dwelling,13-Aug-12,Senior Planning Officer - South (SC),Tir-Y-Dail Ballaughton Lane Douglas Isle Of Man IM2 1NB
Permitted,12/00905/C,Change of use of ground floor from jewellers to an estate agency,01-Aug-12,Senior Planning Officer - South (SC),5 - 7 Market Hill Ramsey Isle Of Man IM8 1JT
Permitted,12/00906/B,Installation of replacement windows to existing barn,01-Aug-12,Senior Planning Officer - South (SC),Ballacrye Farm  Sandygate Ramsey Isle Of Man IM7 3BS 
Application Withdrawn,12/00907/B,Conversion of residential dwelling to provide three self contained apartments,21-Sep-12,Withdrawn,6 Grosvenor Road Douglas Isle Of Man IM1 3EN
Permitted,12/00908/B,Erection of a timber bridge walkway,06-Sep-12,Senior Planning Officer - South (SC),Thie Ny Strooan Hillberry Green Douglas Isle Of Man IM2 6DE
Permitted,12/00909/A,Approval in principle for re-development of site for residential purposes,18-Sep-12,Planning Committee,Knock Rushen House Scarlett Castletown Isle Of Man IM9 1TA 
Permitted,12/00910/B,Roofing works to existing conservatory,01-Aug-12,Senior Planning Officer - South (SC),21 Mountain View Douglas Isle Of Man IM2 5HX
Permitted,12/00911/B,Erection of conservatory to rear elevation,01-Aug-12,Senior Planning Officer - North (CB),Roselea Spaldrick Avenue Port Erin Isle Of Man IM9 6PE 
Permitted,12/00912/B,Alterations to levels of field 514331 and land drainage works (Retrospective),20-Nov-12,Senior Planning Officer - North (CB),Field 514331 Ballavartyn Road Santon Isle Of Man  
Permitted,12/00913/B,"Increase residential curtilage, creation of new vehicular access and hard standing area, erection of a shed and installation of oil tank (part retrospective)",26-Sep-12,Head of Development Management,Thie-Ny-Garee Ballaragh Laxey Isle Of Man IM4 7PL 
